"RunOrder","Tube","Cell","Sample","ID","Diet","Population","PoolSize","Isocitric acid (Isocitrate)","Leucine","Lysine","Phenylalanine","Tryptophan","Asparagine","Aspartic acid","Ornithine","Acetyl coA","Coenzyme A","Adenosine triphosphate","Adenosine 5'-diphosphate","Adenosine 5'-monophosphate","FADH","NADP","NADPH","NADH","NAD"
30,"X27","A6","STD_1_100","C1L","STD","1","100",0.732143152689822,0.88561224849816,0.735067589200136,1.08985611543506,0.493556932105069,0.346172701537847,-1.05115892664848,-0.517256264274044,-0.406183834993242,-1.63190762304892,-1.30895845695332,1.31581749598481,2.12064066955516,-1.40098048785561,0.198192215255696,-1.90216293628998,-1.31488242727718,1.61643183707902
43,"X28","B4","STD_2_005","C2S","STD","2","5",0.711224991567192,0.866034977064186,0.717651176867054,0.955647409543065,0.466663228987156,0.171076695947896,-1.02345132107744,-0.535529860945592,-0.584517818617796,-1.00566654558405,-1.151938884266,1.28030775661799,2.15349165541428,-1.33206835891454,0.319423131574174,-1.39267229337703,-2.11490518002154,1.499229239221
8,"X29","B5","STD_2_050","C2M","STD","2","50",0.705946297857554,0.894687326290286,0.7118024631075,1.10227995998266,0.496626654949244,0.304095624765771,-0.961563632077092,-0.504270043831415,-0.614031025826372,-1.44526854723204,-1.31317388082631,1.26218186654998,2.09253730177717,-1.15873187385011,0.129465995693467,-1.65643758251339,-1.49125264445753,1.44510573964064
1,"X30","B6","STD_2_100","C2L","STD","2","100",0.921535129614759,1.0861645477674,0.893056954562163,1.25267483909169,0.630938191344216,0.478600033369908,-0.63589348132064,-0.304204414658709,-0.630000262890825,-1.95840448532809,-1.41397394698753,1.20390178795695,2.13229365491374,-2.01863826771709,0.0834711164194699,-1.93063428267727,-1.32212032384362,1.53123321038349
11,"X31","C4","STD_3_005","C3S","STD","3","5",0.72729107777517,0.85445994407719,0.767587951065615,0.867795337197529,0.367500274862016,0.215766426165899,-1.0341144121505,-0.6205409296944,-0.779456479909618,-0.929664757080214,-1.09713216223789,1.2348787020583,2.17081349385613,-1.11598131715261,0.312759545670711,-1.56856076820437,-1.8448136056453,1.47141167934635
19,"X32","C5","STD_3_050","C3M","STD","3","50",0.686089911470891,0.841162373785329,0.590324936181333,1.02828683512612,0.420060096218287,0.234384942970478,-0.887402892580562,-0.666656004064376,-0.588612510092483,-1.54687624543735,-1.15576227382639,1.28629992913882,2.1532149421425,-1.28471879602657,0.291605839953994,-1.56884659206661,-1.41518839553816,1.58263390264475
25,"X33","C6","STD_3_100","C3L","STD","3","100",0.698249330471162,0.843276144442707,0.659103014844828,1.05591263366935,0.455126859072438,0.271720336826545,-0.888302234793344,-0.558427709284056,-0.540958139646109,-1.54344618698429,-1.30110800701777,1.31265132675907,2.14466905553157,-1.70227893417599,0.218918618935563,-1.64866393907767,-1.12151480568386,1.64507263610987
26,"X34","D4","STD_4_005","C4S","STD","4","5",0.641042402406142,0.856641259480403,0.587006016117348,0.913068567729113,0.354808873531081,0.0904899156473622,-0.995342413278595,-0.593963479294912,-0.581418039195088,-1.55067114362927,-1.13867514396644,1.30740730190639,2.17235029867772,-1.12802427041134,0.381059328038778,-1.3579214101667,-1.45571522676482,1.49785716317282
52,"X35","D5","STD_4_050","C4M","STD","4","50",0.690236695672495,0.850432490525246,0.621733150605576,1.04164277190563,0.458110634163986,0.228960824447363,-0.79546472650545,-0.537831608067048,-0.657105989147533,-1.26378866847731,-1.20934890780773,1.31049374844625,2.16655718729477,-1.57998095006845,0.207529043643851,-1.78861640365728,-1.31183238948864,1.56827309651428
53,"X36","D6","STD_4_100","C4L","STD","4","100",0.672296724308715,0.816753854503919,0.638551336962171,1.03066478638816,0.413894066590422,0.250866218899234,-0.809464910198985,-0.536410496006153,-0.521593827886329,-1.37702584339075,-1.36223173717624,1.29145332071537,2.14165585547106,-1.56357329662577,0.183372352230847,-1.73660549565229,-1.14531764365916,1.61271473452578
24,"X37","E4","STD_5_005","C5S","STD","5","5",0.741688583718949,0.853722203299088,0.714847452248077,0.955792904520202,0.394415898744585,0.193675607760889,-1.13286675190514,-0.452036969170217,-0.596284652770021,-0.972630266631107,-1.24839696157279,1.2495244887702,2.16007880434073,-1.20282026067688,0.291614279921239,-1.50413586551018,-1.91976982722615,1.47358133213851
35,"X38","E5","STD_5_050","C5M","STD","5","50",0.625912879643858,0.798811126195154,0.637258630009657,1.00318311623906,0.4433652100142,0.248580015840357,-0.929534890694426,-0.616062904380085,-0.538934133956647,-1.15366616497087,-1.20876655457014,1.293850270614,2.15094669804131,-1.52038452928798,0.26022849543743,-1.53130470607921,-1.53620620204809,1.57272364395242
42,"X39","E6","STD_5_100","C5L","STD","5","100",0.648891696032392,0.858520323969824,0.622736127712892,1.05037999256958,0.410912628799565,0.231259450284884,-0.855571467891955,-0.520758670503033,-0.487790205247372,-1.59685523297687,-1.42264179216715,1.30155411194987,2.15359205225853,-1.52532391249574,0.209111407686848,-1.63432350381179,-1.08359190743579,1.63989890126533
23,"X40","F4","STD_6_005","C6S","STD","6","5",0.680099689443701,0.916692349151229,0.664419816291502,1.06100612062168,0.346033639343373,0.151895474934522,-1.05452361754459,-0.64281330698752,-0.872139473400881,-1.14218131165049,-1.0694601012732,1.31641993109589,2.13834994086402,-1.30558466130414,0.320319641879415,-1.4687248294272,-1.55471950261297,1.51491020057566
29,"X41","F5","STD_6_050","C6M","STD","6","50",0.695500183319202,0.845883410449795,0.636008228862159,1.03753284535733,0.43024501240815,0.24488369799736,-0.943282830133243,-0.547028187846059,-0.576327636627083,-1.48725936042898,-1.21174854723624,1.31862365229119,2.15053723005893,-1.59088036691848,0.244735160802136,-1.64165334625085,-1.19581734107996,1.59004819497465
48,"X42","F6","STD_6_100","C6L","STD","6","100",0.709878246787251,0.844579108105546,0.6983852235126,1.05373929301134,0.448095721974753,0.320012480606032,-0.85348135687033,-0.466665166245692,-0.485400819851012,-1.78502052652827,-1.30362488605624,1.32361002163867,2.15384461838321,-1.54156401910048,0.192538466475822,-1.85591212871328,-1.1135416637304,1.66052738660048
40,"X43","G4","STD_7_005","C7S","STD","7","5",0.618888674299598,0.815668566928639,0.620530564010478,0.955374431198848,0.264014051266932,0.119556588094923,-1.05539840247197,-0.499089307981002,-0.552504227493512,-1.39904055414556,-0.961569554136525,1.31359324702892,2.17145825433617,-1.27447612731117,0.324221378645511,-1.44767349211348,-1.53559610661557,1.52204201645878
50,"X44","G5","STD_7_050","C7M","STD","7","50",0.686816877754563,0.807403832089221,0.637050818173652,1.01338750982915,0.469729781396449,0.254058657737203,-0.910273727292799,-0.564517353188887,-0.533407894432009,-1.5061025300867,-1.2479066662437,1.30581592779253,2.13302116958048,-1.32416631963689,0.26233968739271,-1.64209517140367,-1.4289142504039,1.58775965094259
12,"X45","G6","STD_7_100","C7L","STD","7","100",0.716467720535266,0.862726138016205,0.680339835033301,1.05418534176052,0.508317948258765,0.302992591531843,-0.96164573537516,-0.511832249119101,-0.509625772730413,-1.39330838857605,-1.34917584775018,1.27754853923763,2.13647146856817,-1.47612725493381,0.212673537320377,-1.84287319524327,-1.34173262753234,1.63459795099827
10,"X46","H4","STD_8_005","C8S","STD","8","5",0.743116271937496,0.875909427924261,0.747690592702259,1.02164651857258,0.452684445493153,0.19596784751095,-1.19387971074971,-0.565275594884874,-0.754542920502021,-0.865403526157862,-1.224704108468,1.2964309008158,2.12027645153177,-1.19503660354269,0.305795269989758,-1.7001765027579,-1.71613040211485,1.45563164269988
31,"X47","H5","STD_8_050","C8M","STD","8","50",0.710244926798953,0.896373237908299,0.598672037177405,1.07766704126118,0.399723150052795,0.214474124092464,-0.96524409436923,-0.608150907917375,-0.547623056793886,-1.66448396906815,-1.19837016918978,1.29072782572592,2.14897180564518,-1.34771326229146,0.246788055787805,-1.72608765498639,-1.11531441186246,1.58934532202873
37,"X48","H6","STD_8_100","C8L","STD","8","100",0.730647765934156,0.887416049138404,0.727595131873314,1.08731472914721,0.486870158961984,0.337664422240615,-1.06189156161532,-0.493608002323132,-0.528139989910801,-1.44396763157656,-1.33748364108266,1.2748686670081,2.13243839101846,-1.44227970638883,0.2217338130691,-1.77936580589331,-1.4251519385676,1.62533914896687
